id;nom;categorie;image;description
B015;On viT dAnS unE dIcTatUre;Conspibadges;B015.webp;Présente les mesures sanitaires et restrictions liées à la COVID-19 comme des instruments de contrôle de la population, ou affirme que la pandémie a été fabriquée, exagérée ou utilisée comme prétexte pour restreindre les libertés. Inclut également les personnes qui ont fait de l’opposition aux mesures sanitaires, aux restrictions, aux obligations ou aux politiques gouvernementales liées à la COVID-19 un élément de leur militantisme politique.
B016;Go Kémion;Conspibadges;B016.webp;A soutenu, participé ou affiché un appui au Convoi de la liberté de 2022, notamment à ses revendications ou à son mouvement.
B017;Snake Oil;Conspibadges;B017.webp;Présente un traitement, produit ou remède non démontré comme une solution efficace contre la COVID-19, ou d'autres conditions médicales.
B018;Grand vibreur;Badges spirituels;B018.webp;Recours à des concepts spirituels, énergétiques ou vibratoires présentés comme des explications ou des solutions à des phénomènes personnels ou sociaux.
B019;Le Péril Rouge;Droito-religioso-Intoléro-Xénophobadges;B019.webp;Qualifie de « communiste », de « communisme » ou de « soviétique » une mesure, une politique ou une proposition qui ne relève pas réellement du communisme, généralement parce qu'elle comporte une intervention de l'État, une mesure sociale, une réglementation ou une redistribution.
B020;Éveil des consciences;Badges spirituels;B020.webp;Présente un prétendu éveil collectif des consciences comme une explication ou une solution à des problèmes sociaux, politiques ou culturels.
B021;Epsteinégation;Trumpibadges;B021.webp;Minimise, nie ou relativise les liens, relations ou éléments documentés concernant Jeffrey Epstein et Donald Trump.
B022;QC 51st / Canada 51st;Trumpibadges;B022.webp;Affiche un appui à l'idée que le Québec ou le Canada devrait devenir un État américain, ou manifeste une sympathie envers cette perspective.
B023;Trumpophile;Trumpibadges;B023.webp;Affiche un appui, une admiration ou une sympathie envers Donald Trump ou son mouvement politique.
B024;Fake News!;Trumpibadges;B024.webp;Accuse les médias, journalistes ou sources d'information de diffuser de fausses nouvelles, notamment dans une rhétorique associée à Donald Trump.
B025;Y a-t-il un woke dans la pièce avec nous ?;Droito-religioso-Intoléro-Xénophobadges;B025.webp;Présente le « wokisme » comme une menace omniprésente ou utilise le terme « woke » principalement comme une accusation ou un épouvantail politique.
B026;His and hers;Droito-religioso-Intoléro-Xénophobadges;B026.webp;Défend ou promeut une conception strictement binaire et traditionnelle des rôles ou identités de genre, notamment en valorisant la soumission ou la dépendance des femmes, les idéologies masculinistes ou incel, ou une vision traditionaliste des rapports entre les sexes, ou tient des propos misogynes, transphobes, homophobes ou dénigrant les personnes qui ne correspondent pas à cette conception, notamment dans un contexte politique ou social.
B027;Droitardé;Droito-religioso-Intoléro-Xénophobadges;B027.webp;Tient ou relaie des propos ou positions particulièrement réactionnaires, intolérants ou extrémistes associés à une droite radicale, notamment en matière d’immigration, de diversité, d’équité, de politiques sociales ou de normes traditionnelles, ou manifeste une hostilité marquée envers les valeurs ou mesures généralement associées à la gauche ou au progressisme.
B028;Anti-Choix;Droito-religioso-Intoléro-Xénophobadges;B028.webp;S’oppose au droit à l’avortement, défend des politiques visant à restreindre l’accès à l’interruption volontaire de grossesse ou souhaite rouvrir le débat sur ce droit ou remettre en question son maintien.
B029;Guerre à l’auto;Désintégrité, Populisme et Écarts de langage;B029.webp;Présente les politiques favorisant le transport collectif, la réduction de l'usage de l'automobile ou la transition écologique comme une attaque contre les automobilistes ou leur liberté.
B030;Insultes ou langage grossier;Désintégrité, Populisme et Écarts de langage;B030.webp;Utilise des insultes, un langage grossier ou des propos volontairement dégradants dans un contexte politique ou public.
B031;Dans le trouble;Désintégrité, Populisme et Écarts de langage;B031.webp;A fait l’objet de démêlés judiciaires notables, notamment d’une accusation, d’une poursuite, d’une procédure judiciaire ou d’une condamnation, ou prend publiquement la défense d’une personne impliquée dans de tels démêlés.
B032;Vire-Capot;Désintégrité, Populisme et Écarts de langage;B032.webp;Adopte des positions politiques qui changent de façon importante selon le contexte, les circonstances ou les intérêts du moment, pouvant aller jusqu’à changer de parti ou d’allégeance, et donnant l’impression de voir la politique davantage comme une carrière que comme un engagement fondé sur des valeurs ou des convictions.
B033;Démocratie à géométrie variable;Désintégrité, Populisme et Écarts de langage;B033.webp;Attribué lorsqu’un candidat attaque ou remet explicitement en cause un principe, un droit ou une institution essentielle au fonctionnement démocratique, notamment le droit de vote, l’égalité politique, la liberté de presse, l’indépendance des médias ou le rôle des journalistes comme contre-pouvoir.
B034;Pris la main dans l'éthique;Désintégrité, Populisme et Écarts de langage;B034.webp;Attribué lorsqu’une décision officielle du Commissaire à l’éthique et à la déontologie conclut qu’un élu ou candidat a manqué à une disposition du Code d’éthique et de déontologie des membres de l’Assemblée nationale.
B035;Ambivax;Désintégrité, Populisme et Écarts de langage;B035.webp;Évite de se prononcer sur les bienfaits de la vaccination, invoque son absence d’expertise médicale pour ne pas prendre position, afin de ménager un électorat réticent aux vaccins ou préfére avancer des arguments hors contexte — comme l’attente d’un vaccin québécois — pour justifier son absence de position claire.
B036;Idiot utile;Désintégrité, Populisme et Écarts de langage;B036.webp;Contribue, volontairement ou involontairement, à servir les intérêts d’une puissance étrangère, d’un adversaire ou d’un groupe politique, notamment en relayant ses arguments, en légitimant ses positions ou en facilitant sa stratégie.
